Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %,Sector,Year,Month,Weekday,Trade Duration
BIDU,Long,2021-04-26,208.2,208.4,2021-06-28,0.01,Communication Services,2021,4,Monday,63.0
TDOC,Long,2021-03-04,169.82,170.82,2021-06-28,0.59,Healthcare,2021,3,Thursday,116.0
VIAC,Long,2021-03-26,42.75,47.1,2021-06-28,10.18,Equity / Other,2021,3,Friday,94.0
BABA,Long,2021-06-09,214.28,230.58,2021-06-28,7.61,Consumer Cyclical,2021,6,Wednesday,19.0
VIPS,Long,2021-06-21,17.58,19.13,2021-06-24,8.82,Consumer Cyclical,2021,6,Monday,3.0
F,Short,2021-05-28,15.71,14.5,2021-06-18,7.7,Consumer Cyclical,2021,5,Friday,21.0
XHB,Short,2021-05-03,76.76,69.46,2021-06-17,9.51,Equity / Other,2021,5,Monday,45.0
CAT,Short,2020-11-10,215.1,208.4,2021-06-17,1.99,Industrials,2020,11,Tuesday,219.0
JPM,Short,2021-02-22,156.32,155.4,2021-06-15,0.59,Financial Services,2021,2,Monday,113.0
MOMO,Long,2021-05-28,14.05,15.35,2021-06-10,9.25,Communication Services,2021,5,Friday,13.0
GOTU,Long,2021-05-19,23.5,25.85,2021-05-20,10.0,Consumer Defensive,2021,5,Wednesday,1.0
BTC/USD,Long,2021-05-19,31000.0,41000.0,2021-05-19,32.26,Crypto,2021,5,Wednesday,0.0
ARRY,Long,2021-05-17,13.6,14.7,2021-05-19,8.09,Technology,2021,5,Monday,2.0
GOTU,Long,2021-05-14,23.72,26.16,2021-05-18,10.29,Consumer Defensive,2021,5,Friday,4.0
GLD,Long,2021-05-17,166.02,174.3,2021-11-25,4.99,Commodities,2021,5,Monday,192.0
ARRY,Long,2021-05-12,14.82,15.33,2021-05-13,3.44,Technology,2021,5,Wednesday,1.0
QID,Long,2021-04-05,23.5,25.83,2021-05-11,9.92,Other/ETF,2021,4,Monday,36.0
AMAT,Short,2021-04-01,141.15,126.85,2021-05-04,10.2,Technology,2021,4,Thursday,33.0
SOXS,Long,2021-04-05,8.25,10.3,2021-05-04,24.85,Leveraged ETF,2021,4,Monday,29.0
BNTX,Short,2021-05-03,202.25,180.75,2021-05-04,10.63,Healthcare,2021,5,Monday,1.0
GSX,Long,2021-03-29,29.42,32.42,2021-04-26,10.2,Equity / Other,2021,3,Monday,28.0
VIPS,Long,2021-03-24,28.28,31.55,2021-04-23,11.56,Consumer Cyclical,2021,3,Wednesday,30.0
TME,Long,2021-04-20,17.15,18.88,2021-04-22,10.09,Communication Services,2021,4,Tuesday,2.0
SQ,Short,2021-04-14,278.0,248.0,2021-04-19,10.79,Equity / Other,2021,4,Wednesday,5.0
AI,Long,2021-04-12,59.65,66.5,2021-04-14,11.48,Technology,2021,4,Monday,2.0
PFE,Long,2021-02-01,35.79,37.61,2021-04-13,5.09,Healthcare,2021,2,Monday,71.0
BABA,Long,2021-03-25,224.95,241.55,2021-04-12,7.38,Consumer Cyclical,2021,3,Thursday,18.0
AI,Long,2021-03-24,64.6,71.1,2021-04-01,10.06,Technology,2021,3,Wednesday,8.0
TME,Long,2021-03-26,16.95,19.5,2021-03-26,15.04,Communication Services,2021,3,Friday,0.0
VIAC,Short,2021-03-17,94.55,84.1,2021-03-24,11.05,Equity / Other,2021,3,Wednesday,7.0
RLX,Long,2021-03-24,7.95,8.85,2021-03-24,11.32,Consumer Defensive,2021,3,Wednesday,0.0
FAZ,Long,2021-03-18,31.7,35.05,2021-03-18,10.57,Leveraged ETF,2021,3,Thursday,0.0
VIAC,Short,2021-03-10,93.53,87.93,2021-03-17,5.99,Equity / Other,2021,3,Wednesday,7.0
GDX,Long,2021-02-26,30.95,33.6,2021-03-16,8.56,Equity / Other,2021,2,Friday,18.0
PYPL,Long,2021-03-05,224.85,251.25,2021-03-11,11.74,Financial Services,2021,3,Friday,6.0
SQ,Long,2021-03-05,200.0,222.05,2021-03-09,11.03,Equity / Other,2021,3,Friday,4.0
INSG,Long,2021-03-02,9.92,10.46,2021-03-09,5.44,Technology,2021,3,Tuesday,7.0
AMZN,Short,2020-06-10,2938.17,2892.17,2021-03-05,1.57,Consumer Cyclical,2020,6,Wednesday,268.0
SMH,Short,2020-11-30,221.09,217.35,2021-03-05,1.7,Equity / Other,2020,11,Monday,95.0
RH,Short,2020-12-02,458.0,426.0,2021-03-05,6.99,Consumer Cyclical,2020,12,Wednesday,93.0
KLAC,Short,2020-11-12,286.74,282.74,2021-03-04,1.4,Technology,2020,11,Thursday,112.0
ROKU,Short,2020-12-21,377.5,347.5,2021-03-04,7.95,Communication Services,2020,12,Monday,73.0
PYPL,Short,2020-11-30,247.55,242.8,2021-03-04,1.92,Financial Services,2020,11,Monday,94.0
TWM,Long,2021-02-05,14.98,16.45,2021-03-04,9.81,Equity / Other,2021,2,Friday,27.0
TWTR,Short,2021-02-16,74.25,68.35,2021-03-04,7.95,Technology,2021,2,Tuesday,16.0
TSM,Short,2021-01-20,136.0,119.5,2021-03-04,12.13,Technology,2021,1,Wednesday,43.0
TLT,Long,2021-02-25,137.6,143.45,2021-02-26,4.25,Equity / Other,2021,2,Thursday,1.0
Z,Short,2020-12-10,161.62,151.42,2021-02-25,6.31,Communication Services,2020,12,Thursday,77.0
QID,Long,2021-02-02,25.38,28.03,2021-02-25,10.44,Other/ETF,2021,2,Tuesday,23.0
QCOM,Short,2020-11-18,150.5,134.6,2021-02-23,10.57,Technology,2020,11,Wednesday,97.0
PINS,Short,2021-02-11,85.5,71.25,2021-02-23,16.66,Communication Services,2021,2,Thursday,12.0
SOXS,Long,2021-02-12,10.96,13.25,2021-02-23,20.09,Leveraged ETF,2021,2,Friday,11.0
FRO,Long,2021-02-03,6.12,6.74,2021-02-08,10.13,Energy,2021,2,Wednesday,5.0
MAC,Long,2021-02-02,12.21,13.45,2021-02-04,10.16,Real Estate,2021,2,Tuesday,2.0
XRT,Short,2020-12-09,79.25,75.95,2021-02-02,4.16,Equity / Other,2020,12,Wednesday,55.0
LIT,Short,2021-01-07,72.65,65.2,2021-01-29,10.25,Equity / Other,2021,1,Thursday,22.0
SFIX,Short,2021-01-25,103.75,92.75,2021-01-28,10.6,Consumer Cyclical,2021,1,Monday,3.0
ETSY,Short,2021-01-20,225.7,192.7,2021-01-27,14.62,Consumer Cyclical,2021,1,Wednesday,7.0
PLUG,Short,2021-01-26,75.25,63.85,2021-01-27,15.15,Industrials,2021,1,Tuesday,1.0
VXX,Long,2020-11-05,18.05,20.15,2021-01-27,11.7,Leveraged ETF,2020,11,Thursday,83.0
JPM,Short,2021-01-07,138.15,131.2,2021-01-25,5.03,Financial Services,2021,1,Thursday,18.0
ICPT,Long,2021-01-15,27.05,31.1,2021-01-25,14.97,Equity / Other,2021,1,Friday,10.0
PLUG,Short,2021-01-13,70.5,62.25,2021-01-15,11.7,Industrials,2021,1,Wednesday,2.0
FUBO,Long,2020-12-30,28.16,32.2,2021-01-12,14.35,Communication Services,2020,12,Wednesday,13.0
BABA,Long,2021-01-07,221.15,238.15,2021-01-08,7.69,Consumer Cyclical,2021,1,Thursday,1.0
FDX,Short,2020-08-12,239.87,245.87,2021-01-07,-2.5,Industrials,2020,8,Wednesday,148.0
QS,Long,2021-01-04,48.65,55.25,2021-01-05,13.57,Consumer Cyclical,2021,1,Monday,1.0
ICPT,Long,2020-12-07,28.67,31.12,2021-01-05,8.55,Equity / Other,2020,12,Monday,29.0
PTON,Short,2020-12-22,160.5,143.75,2021-01-04,10.44,Consumer Cyclical,2020,12,Tuesday,13.0
TGT,Long,2022-12-22,140.04,149.04,2022-12-29,6.43,Consumer Defensive,2022,12,Thursday,7.0
GILD,Short,2022-12-05,89.0,82.4,2022-12-20,7.42,Healthcare,2022,12,Monday,15.0
SDS,Long,2022-11-23,42.1,46.65,2022-12-20,10.81,Equity / Other,2022,11,Wednesday,27.0
SOXS,Long,2022-11-11,32.5,37.5,2022-12-19,15.38,Leveraged ETF,2022,11,Friday,38.0
IBN,Short,2022-11-30,23.48,21.68,2022-12-15,7.67,Financial Services,2022,11,Wednesday,15.0
TLT,Long,2022-03-25,110.31,108.45,2022-12-07,-1.69,Equity / Other,2022,3,Friday,257.0
MJ,Long,2022-06-22,6.05,6.62,2022-12-05,9.42,Equity / Other,2022,6,Wednesday,166.0
MSFT,Long,2022-09-16,236.22,255.7,2022-12-01,8.25,Technology,2022,9,Friday,76.0
NEM,Long,2022-07-21,45.26,49.36,2022-12-01,9.06,Basic Materials,2022,7,Thursday,133.0
SLV,Long,2022-04-28,18.9,20.88,2022-12-01,10.48,Equity / Other,2022,4,Thursday,217.0
TME,Long,2022-04-29,6.75,6.88,2022-11-30,1.93,Communication Services,2022,4,Friday,215.0
BABA,Long,2022-10-19,68.7,78.7,2022-11-15,14.56,Consumer Cyclical,2022,10,Wednesday,27.0
SE,Long,2022-08-24,51.71,55.2,2022-11-15,6.75,Consumer Cyclical,2022,8,Wednesday,83.0
META,Long,2022-05-09,116.47,116.99,2022-11-15,0.45,Communication Services,2022,5,Monday,190.0
BIDU,Long,2022-10-19,88.92,98.92,2022-11-15,11.25,Communication Services,2022,10,Wednesday,27.0
TDOC,Long,2022-08-31,29.4,32.05,2022-11-11,9.01,Healthcare,2022,8,Wednesday,72.0
KWEB,Long,2022-09-21,21.29,24.05,2022-11-11,12.96,Equity / Other,2022,9,Wednesday,51.0
WBD,Long,2022-11-09,9.64,10.98,2022-11-11,13.69,Communication Services,2022,11,Wednesday,2.0
OKTA,Long,2022-11-03,47.78,52.26,2022-11-11,9.38,Technology,2022,11,Thursday,8.0
ZM,Long,2022-08-31,77.5,89.64,2022-11-11,15.66,Technology,2022,8,Wednesday,72.0
AMD,Long,2022-09-20,62.65,67.3,2022-11-10,7.42,Technology,2022,9,Tuesday,51.0
IBB,Long,2022-01-27,125.0,133.56,2022-11-10,6.85,Equity / Other,2022,1,Thursday,287.0
