Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %,Sector,Year,Month,Weekday,Trade Duration
LL,Long,2015-10-15,16.99,18.2,2015-12-15,7.12,Equity / Other,2015,10,Thursday,61.0
TZA,Long,2015-10-19,44.0,45.4,2015-11-13,3.18,Equity / Other,2015,10,Monday,25.0
QID,Long,2015-10-22,29.98,30.98,2015-11-13,3.34,Other/ETF,2015,10,Thursday,22.0
TRV,Long,2015-10-26,112.85,108.95,2016-01-06,3.46,Financial Services,2015,10,Monday,72.0
FB,Short,2015-10-28,103.95,101.35,2015-11-16,2.05,Equity / Other,2015,10,Wednesday,19.0
BIS,Long,2015-10-29,30.9,32.5,2015-12-11,5.2,Equity / Other,2015,10,Thursday,43.0
GLD,Long,2015-11-06,104.03,105.82,2016-01-07,1.75,Commodities,2015,11,Friday,62.0
SKX,Long,2015-11-10,28.51,25.45,2015-11-13,-10.73,Equity / Other,2015,11,Tuesday,3.0
UCO,Long,2015-11-13,15.6,10.55,2016-03-17,-32.37,Equity / Other,2015,11,Friday,125.0
CHK,Long,2015-11-16,5.38,4.2,2016-03-02,-21.93,Energy,2015,11,Monday,107.0
PFE,Long,2015-11-19,32.0,32.65,2015-12-11,2.03,Healthcare,2015,11,Thursday,22.0
QID,Long,2015-11-20,28.9,30.15,2015-12-11,4.33,Other/ETF,2015,11,Friday,21.0
TZA,Long,2015-11-20,41.25,43.75,2015-12-08,6.06,Equity / Other,2015,11,Friday,18.0
VLTC,Long,2015-11-24,3.45,4.4,2015-11-24,27.54,Equity / Other,2015,11,Tuesday,0.0
VXX,Long,2015-11-25,18.64,21.34,2015-12-11,14.5,Leveraged ETF,2015,11,Wednesday,16.0
SSYS,Long,2015-12-03,22.22,20.55,2016-03-01,-7.52,Technology,2015,12,Thursday,89.0
VLTC,Long,2015-12-07,5.0,5.55,2015-12-17,11.0,Equity / Other,2015,12,Monday,10.0
X,Long,2015-12-08,6.99,8.24,2015-12-10,17.88,Equity / Other,2015,12,Tuesday,2.0
ZFGN,Long,2015-12-10,6.25,9.05,2016-01-20,44.8,Equity / Other,2015,12,Thursday,41.0
QCOM,Long,2015-12-11,47.8,50.5,2015-12-29,5.64,Technology,2015,12,Friday,18.0
TNA,Long,2015-12-14,59.3,63.3,2015-12-15,6.75,Leveraged ETF,2015,12,Monday,1.0
POT,Long,2015-12-14,16.9,18.05,2015-12-23,6.18,Equity / Other,2015,12,Monday,9.0
DVN,Long,2015-12-16,30.0,33.2,2015-12-23,10.67,Energy,2015,12,Wednesday,7.0
X,Long,2015-12-17,7.5,8.6,2015-12-21,14.67,Equity / Other,2015,12,Thursday,4.0
SUNE,Long,2015-12-22,4.55,5.15,2015-12-22,13.19,Technology,2015,12,Tuesday,0.0
DGAZ,Long,2015-12-29,12.45,15.2,2015-12-30,22.09,Equity / Other,2015,12,Tuesday,1.0
GILD,Long,2016-01-05,99.23,92.51,2016-01-13,-6.76,Healthcare,2016,1,Tuesday,8.0
POT,Long,2016-01-06,15.77,16.82,2016-02-04,6.66,Equity / Other,2016,1,Wednesday,29.0
JOY,Long,2016-01-06,10.23,11.08,2016-02-04,8.31,Equity / Other,2016,1,Wednesday,29.0
CMG,Long,2016-01-06,431.0,474.4,2016-02-02,10.06,Consumer Cyclical,2016,1,Wednesday,27.0
KMI,Long,2016-01-06,13.82,15.02,2016-01-22,8.68,Energy,2016,1,Wednesday,16.0
AXP,Long,2016-01-07,63.8,61.1,2016-03-18,-4.23,Financial Services,2016,1,Thursday,71.0
QCOM,Long,2016-01-07,46.93,49.1,2016-02-18,4.62,Technology,2016,1,Thursday,42.0
FEYE,Long,2016-01-07,18.22,17.68,2016-03-01,-2.96,Equity / Other,2016,1,Thursday,54.0
AMBA,Long,2016-01-08,43.6,46.6,2016-02-29,6.88,Technology,2016,1,Friday,52.0
TWTR,Long,2016-01-08,19.94,20.24,2016-03-04,1.51,Technology,2016,1,Friday,56.0
JPM,Long,2016-01-11,58.75,59.8,2016-03-02,1.79,Financial Services,2016,1,Monday,51.0
DVN,Long,2016-01-12,25.15,27.25,2016-01-22,8.35,Energy,2016,1,Tuesday,10.0
PANW,Long,2016-01-14,151.47,155.24,2016-01-19,2.5,Technology,2016,1,Thursday,5.0
DIS,Long,2016-01-15,93.5,95.4,2016-02-17,2.03,Communication Services,2016,1,Friday,33.0
JWN,Long,2016-01-19,45.27,49.36,2016-02-08,9.02,Equity / Other,2016,1,Tuesday,20.0
AMZN,Long,2016-01-20,560.0,592.0,2016-01-22,5.71,Consumer Cyclical,2016,1,Wednesday,2.0
PANW,Long,2016-01-20,136.5,150.05,2016-01-21,9.93,Technology,2016,1,Wednesday,1.0
LL,Long,2016-01-26,12.55,14.55,2016-02-01,15.94,Equity / Other,2016,1,Tuesday,6.0
MU,Long,2016-01-28,9.88,10.68,2016-01-29,8.1,Technology,2016,1,Thursday,1.0
KMI,Long,2016-02-02,14.47,17.47,2016-02-17,20.73,Energy,2016,2,Tuesday,15.0
LL,Short,2016-02-02,12.73,9.19,2016-02-16,9.19,Equity / Other,2016,2,Tuesday,14.0
V,Long,2016-02-03,72.96,73.8,2016-02-26,1.15,Financial Services,2016,2,Wednesday,23.0
AMZN,Long,2016-02-05,505.17,531.5,2016-02-17,5.21,Consumer Cyclical,2016,2,Friday,12.0
TSLA,Long,2016-02-05,156.0,167.2,2016-02-17,7.18,Consumer Cyclical,2016,2,Friday,12.0
NFLX,Long,2016-02-05,84.9,91.9,2016-02-10,8.25,Communication Services,2016,2,Friday,5.0
GLD,Short,2016-02-08,123.43,120.9,2016-10-04,2.05,Commodities,2016,2,Monday,239.0
GOOG,Long,2016-02-08,667.0,704.5,2016-02-17,5.62,Communication Services,2016,2,Monday,9.0
QLD,Long,2016-02-08,57.35,61.8,2016-02-16,7.76,Equity / Other,2016,2,Monday,8.0
BIB,Long,2016-02-09,36.89,40.61,2016-02-16,10.33,Equity / Other,2016,2,Tuesday,7.0
SPXU,Long,2016-02-22,35.05,36.35,2016-02-23,3.71,Equity / Other,2016,2,Monday,1.0
SWN,Long,2016-02-24,5.95,6.6,2016-03-03,10.92,Equity / Other,2016,2,Wednesday,8.0
X,Long,2016-02-24,7.3,8.3,2016-02-26,13.7,Equity / Other,2016,2,Wednesday,2.0
CA,Short,2016-02-24,28.98,30.54,2016-03-11,-5.38,Equity / Other,2016,2,Wednesday,16.0
SDS,Long,2016-03-03,20.2,19.5,2016-06-27,-3.47,Equity / Other,2016,3,Thursday,116.0
AMZN,Short,2016-03-03,584.25,548.25,2016-03-10,6.16,Consumer Cyclical,2016,3,Thursday,7.0
VXX,Long,2016-03-03,16.52,16.79,2016-06-14,1.63,Leveraged ETF,2016,3,Thursday,103.0
TZA,Long,2016-03-04,40.42,38.9,2016-06-16,-3.76,Equity / Other,2016,3,Friday,104.0
DUST,Long,2016-03-07,3.35,4.3,2016-03-09,28.46,Leveraged ETF,2016,3,Monday,2.0
VLTC,Long,2016-03-08,4.05,4.6,2016-06-07,13.58,Equity / Other,2016,3,Tuesday,91.0
VRX,Long,2016-03-09,65.28,69.58,2016-03-11,6.58,Equity / Other,2016,3,Wednesday,2.0
TSLA,Short,2016-03-10,217.15,214.5,2016-05-05,1.22,Consumer Cyclical,2016,3,Thursday,56.0
FB,Short,2016-03-15,111.5,109.5,2016-06-27,1.79,Equity / Other,2016,3,Tuesday,104.0
EUO,Long,2016-03-17,23.45,23.91,2016-05-19,1.96,Equity / Other,2016,3,Thursday,63.0
DUST,Long,2016-03-17,2.9,3.55,2016-03-23,22.41,Leveraged ETF,2016,3,Thursday,6.0
DWTI,Long,2016-03-18,119.75,141.05,2016-03-23,17.79,Other/ETF,2016,3,Friday,5.0
BA,Short,2016-03-21,136.5,125.75,2016-03-31,7.88,Industrials,2016,3,Monday,10.0
VRX,Long,2016-03-31,26.95,32.35,2016-04-06,20.04,Equity / Other,2016,3,Thursday,6.0
AAPL,Short,2016-04-04,111.75,104.0,2016-04-26,6.94,Technology,2016,4,Monday,22.0
NFLX,Short,2016-04-06,102.5,94.0,2016-04-18,8.29,Communication Services,2016,4,Wednesday,12.0
KNDI,Long,2016-04-08,7.1,8.07,2016-04-13,13.66,Consumer Cyclical,2016,4,Friday,5.0
DUST,Long,2016-04-11,2.15,2.5,2016-04-14,16.28,Leveraged ETF,2016,4,Monday,3.0
VRX,Long,2016-04-12,31.2,34.7,2016-04-19,11.22,Equity / Other,2016,4,Tuesday,7.0
AMZN,Short,2016-04-18,636.0,614.5,2016-04-22,3.38,Consumer Cyclical,2016,4,Monday,4.0
SPXU,Long,2016-04-19,27.2,28.05,2016-06-14,3.13,Equity / Other,2016,4,Tuesday,56.0
DUST,Long,2016-04-19,1.64,1.69,2016-05-04,3.1,Leveraged ETF,2016,4,Tuesday,15.0
FAZ,Long,2016-04-19,38.14,39.45,2016-06-14,3.44,Leveraged ETF,2016,4,Tuesday,56.0
DWTI,Long,2016-04-21,84.6,84.8,2016-06-16,0.24,Other/ETF,2016,4,Thursday,56.0
ERY,Long,2016-04-22,17.1,19.2,2016-05-09,12.28,Equity / Other,2016,4,Friday,17.0
EGLE,Long,2016-04-27,0.5,0.62,2016-04-27,24.0,Equity / Other,2016,4,Wednesday,0.0
PRGO,Long,2016-04-28,93.1,98.1,2016-05-31,5.37,Healthcare,2016,4,Thursday,33.0
BIB,Long,2016-05-04,39.9,43.05,2016-05-24,7.9,Equity / Other,2016,5,Wednesday,20.0
DUST,Long,2016-05-06,1.32,1.62,2016-05-09,24.24,Leveraged ETF,2016,5,Friday,3.0
DUST,Long,2016-05-13,13.6,15.0,2016-05-18,10.29,Leveraged ETF,2016,5,Friday,5.0
SCO,Long,2016-05-17,82.94,84.82,2016-05-19,2.2,Equity / Other,2016,5,Tuesday,2.0
ERY,Long,2016-05-17,15.95,17.62,2016-06-16,10.47,Equity / Other,2016,5,Tuesday,30.0
NKE,Long,2016-05-19,56.84,52.73,2016-06-28,-7.23,Consumer Cyclical,2016,5,Thursday,40.0
HAL,Short,2016-05-20,42.67,42.0,2016-06-27,1.57,Energy,2016,5,Friday,38.0
EQIX,Short,2016-05-23,355.18,343.28,2016-10-05,3.35,Real Estate,2016,5,Monday,135.0
AMZN,Short,2016-05-24,715.05,698.25,2016-06-24,2.35,Consumer Cyclical,2016,5,Tuesday,31.0
ZFGN,Long,2016-05-24,6.98,7.71,2016-06-02,10.46,Equity / Other,2016,5,Tuesday,9.0
NVDA,Short,2016-05-31,54.18,109.25,2016-12-28,-101.64,Technology,2016,5,Tuesday,211.0
SOXS,Long,2016-05-31,28.25,29.45,2016-06-14,4.25,Leveraged ETF,2016,5,Tuesday,14.0
LABD,Long,2016-06-02,29.82,32.8,2016-06-03,10.06,Leveraged ETF,2016,6,Thursday,1.0
TWTR,Long,2016-06-06,15.35,16.35,2016-06-15,6.52,Technology,2016,6,Monday,9.0
KNDI,Long,2016-06-07,6.97,7.7,2016-08-08,10.47,Consumer Cyclical,2016,6,Tuesday,62.0
TWM,Long,2016-06-07,33.75,36.02,2016-06-16,6.7,Equity / Other,2016,6,Tuesday,9.0
SCO,Long,2016-06-08,75.66,84.41,2016-06-16,11.81,Equity / Other,2016,6,Wednesday,8.0
DUST,Long,2016-06-10,9.3,11.0,2016-06-14,18.28,Leveraged ETF,2016,6,Friday,4.0
VRX,Long,2016-06-14,21.27,24.07,2016-07-07,13.16,Equity / Other,2016,6,Tuesday,23.0
SPWR,Long,2016-06-14,15.03,15.53,2016-06-30,3.33,Technology,2016,6,Tuesday,16.0
WFM,Long,2016-06-15,31.35,32.05,2016-06-30,2.32,Consumer Defensive,2016,6,Wednesday,15.0
DUST,Long,2016-06-15,9.3,11.0,2016-06-20,18.23,Leveraged ETF,2016,6,Wednesday,5.0
VLTC,Long,2016-06-16,3.5,2.4,2016-12-28,-31.43,Equity / Other,2016,6,Thursday,195.0
FH,Long,2016-06-21,2.15,2.7,2016-09-27,25.58,Equity / Other,2016,6,Tuesday,98.0
BIB,Long,2016-06-21,36.82,37.7,2016-06-29,2.39,Equity / Other,2016,6,Tuesday,8.0
CMG,Long,2016-06-22,394.27,408.0,2016-06-23,3.48,Consumer Cyclical,2016,6,Wednesday,1.0
DWTI,Long,2016-06-23,71.45,78.95,2016-06-24,10.5,Other/ETF,2016,6,Thursday,1.0
SOXS,Long,2016-06-23,26.85,29.85,2016-06-24,11.17,Leveraged ETF,2016,6,Thursday,1.0
ALXN,Long,2016-06-24,113.0,118.9,2016-07-01,5.22,Healthcare,2016,6,Friday,7.0
AAL,Long,2016-06-24,26.9,27.9,2016-06-29,3.72,Industrials,2016,6,Friday,5.0
DB,Long,2016-06-27,13.36,14.53,2016-07-14,8.76,Financial Services,2016,6,Monday,17.0
YY,Long,2016-06-27,31.8,33.85,2016-06-28,6.45,Equity / Other,2016,6,Monday,1.0
CMG,Long,2016-06-28,389.85,405.85,2016-06-29,4.1,Consumer Cyclical,2016,6,Tuesday,1.0
QID,Long,2016-06-30,27.76,23.41,2016-12-28,-15.67,Other/ETF,2016,6,Thursday,181.0
VXX,Long,2016-06-30,44.4,24.65,2016-12-28,-44.48,Leveraged ETF,2016,6,Thursday,181.0
SPXU,Long,2016-06-30,24.92,25.82,2016-11-03,3.61,Equity / Other,2016,6,Thursday,126.0
SPXU,Long,2016-06-30,24.92,25.82,2016-11-03,3.61,Equity / Other,2016,6,Thursday,126.0
FAZ,Long,2016-06-30,37.95,40.55,2016-07-06,6.85,Leveraged ETF,2016,6,Thursday,6.0
HAL,Short,2016-06-30,45.13,42.78,2016-08-31,5.21,Energy,2016,6,Thursday,62.0
SLW,Short,2016-07-01,24.55,23.65,2016-10-04,3.67,Commodities,2016,7,Friday,95.0
DUST,Long,2016-07-05,6.36,6.84,2016-07-20,7.55,Leveraged ETF,2016,7,Tuesday,15.0
JDST,Long,2016-07-06,6.0,6.65,2016-07-20,12.5,Leveraged ETF,2016,7,Wednesday,14.0
AMZN,Short,2016-07-07,758.28,738.0,2016-11-10,2.64,Consumer Cyclical,2016,7,Thursday,126.0
TZA,Long,2016-07-11,30.7,32.2,2016-11-02,4.89,Equity / Other,2016,7,Monday,114.0
TZA,Long,2016-07-11,30.7,32.2,2016-11-02,4.89,Equity / Other,2016,7,Monday,114.0
FAZ,Long,2016-07-12,33.86,21.75,2016-12-28,-35.76,Leveraged ETF,2016,7,Tuesday,169.0
TWM,Long,2016-07-12,31.87,27.14,2016-11-11,-14.84,Equity / Other,2016,7,Tuesday,122.0
SJB,Long,2016-07-13,25.77,25.81,2016-11-11,0.16,Equity / Other,2016,7,Wednesday,121.0
SOXS,Long,2016-07-18,22.66,10.3,2016-12-28,-54.54,Leveraged ETF,2016,7,Monday,163.0
FB,Short,2016-07-20,126.55,119.5,2016-11-02,5.57,Equity / Other,2016,7,Wednesday,105.0
FB,Short,2016-07-20,126.55,119.5,2016-11-02,5.57,Equity / Other,2016,7,Wednesday,105.0
TBT,Long,2016-07-25,29.95,33.75,2016-09-15,12.69,Equity / Other,2016,7,Monday,52.0
HD,Short,2016-07-25,136.5,131.3,2016-09-08,3.81,Consumer Cyclical,2016,7,Monday,45.0
UCO,Long,2016-08-02,7.78,8.72,2016-08-04,12.08,Equity / Other,2016,8,Tuesday,2.0
NUE,Short,2016-08-09,52.93,49.89,2016-09-09,5.73,Basic Materials,2016,8,Tuesday,31.0
AAPL,Short,2016-08-16,110.1,105.0,2016-09-09,4.63,Technology,2016,8,Tuesday,24.0
SCO,Long,2016-08-16,84.12,92.5,2016-08-31,10.0,Equity / Other,2016,8,Tuesday,15.0
WMT,Long,2016-08-29,71.28,72.3,2016-09-22,1.43,Consumer Defensive,2016,8,Monday,24.0
MYL,Long,2016-09-05,40.0,42.0,2016-09-19,5.0,Equity / Other,2016,9,Monday,14.0
BABA,Short,2016-09-06,105.25,100.25,2016-10-13,4.75,Consumer Cyclical,2016,9,Tuesday,37.0
SCO,Long,2016-09-08,82.5,92.5,2016-09-12,12.12,Equity / Other,2016,9,Thursday,4.0
BMY,Long,2016-09-09,52.9,56.5,2016-11-09,6.81,Healthcare,2016,9,Friday,61.0
SPWR,Long,2016-09-14,7.85,8.3,2016-09-22,5.73,Technology,2016,9,Wednesday,8.0
SAEX,Long,2016-09-15,8.25,9.55,2016-09-22,15.58,Equity / Other,2016,9,Thursday,7.0
AAPL,Short,2016-09-15,114.1,108.7,2016-11-04,4.73,Technology,2016,9,Thursday,50.0
AAPL,Long,2016-09-15,114.1,108.7,2016-11-04,4.73,Technology,2016,9,Thursday,50.0
TBT,Long,2016-09-22,31.12,33.2,2016-10-06,6.68,Equity / Other,2016,9,Thursday,14.0
FCEL,Long,2016-09-28,5.35,1.95,2016-12-28,-63.55,Industrials,2016,9,Wednesday,91.0
JBLU,Long,2016-09-30,17.25,18.6,2016-10-24,7.83,Industrials,2016,9,Friday,24.0
MYL,Long,2016-10-03,36.67,40.25,2016-10-10,9.76,Equity / Other,2016,10,Monday,7.0
SCO,Long,2016-10-05,72.67,80.5,2016-10-31,10.85,Equity / Other,2016,10,Wednesday,26.0
SCO,Long,2016-10-05,72.62,80.5,2016-10-31,10.85,Equity / Other,2016,10,Wednesday,26.0
GDX,Long,2016-10-06,22.85,24.75,2016-10-19,8.32,Equity / Other,2016,10,Thursday,13.0
TWTR,Long,2016-10-10,17.25,19.05,2016-11-09,10.44,Technology,2016,10,Monday,30.0
CELG,Long,2016-10-13,100.6,104.6,2016-10-27,3.98,Healthcare,2016,10,Thursday,14.0
CMG,Long,2016-10-18,394.0,414.0,2016-10-21,5.08,Consumer Cyclical,2016,10,Tuesday,3.0
RLGY,Long,2016-10-21,23.32,24.82,2016-11-29,6.43,Equity / Other,2016,10,Friday,39.0
FIVE,Long,2016-10-24,36.62,37.49,2016-10-27,2.36,Consumer Cyclical,2016,10,Monday,3.0
LABU,Long,2016-10-25,29.18,30.05,2016-11-07,2.98,Leveraged ETF,2016,10,Tuesday,13.0
TWLO,Long,2016-10-27,36.32,38.32,2016-11-21,5.51,Technology,2016,10,Thursday,25.0
UCO,Long,2016-11-03,8.75,8.98,2016-11-15,2.63,Equity / Other,2016,11,Thursday,12.0
UGAZ,Long,2016-11-08,21.1,23.6,2016-11-09,11.85,Equity / Other,2016,11,Tuesday,1.0
VRX,Long,2016-11-09,25.47,14.35,2016-12-28,-43.66,Equity / Other,2016,11,Wednesday,49.0
SPXU,Long,2016-11-09,22.72,20.25,2016-12-28,-10.87,Equity / Other,2016,11,Wednesday,49.0
JPM,Short,2016-11-10,77.0,86.43,2016-12-28,-12.25,Financial Services,2016,11,Thursday,48.0
TZA,Long,2016-11-10,26.55,20.45,2016-12-06,-22.97,Equity / Other,2016,11,Thursday,26.0
NUGT,Long,2016-11-11,7.85,9.0,2016-11-14,14.65,Leveraged ETF,2016,11,Friday,3.0
TMF,Long,2016-11-14,18.7,17.86,2016-12-28,-4.49,Equity / Other,2016,11,Monday,44.0
AA,Short,2016-11-16,31.5,29.41,2016-12-28,6.67,Basic Materials,2016,11,Wednesday,42.0
DRYS,Long,2016-11-17,12.5,18.0,2016-11-18,44.0,Industrials,2016,11,Thursday,1.0
NUGT,Long,2016-11-21,7.28,7.13,2016-12-28,-2.06,Leveraged ETF,2016,11,Monday,37.0
DRYS,Long,2016-11-23,5.5,6.35,2016-12-01,15.45,Industrials,2016,11,Wednesday,8.0
TEVA,Short,2016-11-28,37.95,33.95,2017-01-13,-10.54,Healthcare,2016,11,Monday,46.0
GS,Short,2016-11-30,222.35,240.68,2016-12-28,-8.24,Financial Services,2016,11,Wednesday,28.0
SRPT,Long,2016-12-01,32.75,28.43,2016-12-28,-13.19,Healthcare,2016,12,Thursday,27.0
SCO,Long,2016-12-05,65.5,71.55,2016-12-07,9.24,Equity / Other,2016,12,Monday,2.0
BAC,Short,2016-12-06,22.11,22.29,2016-12-28,-0.81,Financial Services,2016,12,Tuesday,22.0
X,Short,2016-12-07,37.75,34.9,2016-12-12,7.55,Equity / Other,2016,12,Wednesday,5.0
MAR,Short,2016-12-08,84.05,83.36,2016-12-28,0.82,Consumer Cyclical,2016,12,Thursday,20.0
TMUS,Short,2016-12-08,59.05,57.98,2016-12-28,1.81,Communication Services,2016,12,Thursday,20.0
GILD,Long,2016-12-09,72.2,76.2,2016-12-14,5.54,Healthcare,2016,12,Friday,5.0
TZA,Long,2016-12-09,18.7,19.86,2016-12-28,6.15,Equity / Other,2016,12,Friday,19.0
SAEX,Long,2016-12-12,8.45,7.52,2016-12-28,-11.0,Equity / Other,2016,12,Monday,16.0
LABU,Long,2016-12-15,35.0,33.02,2016-12-28,-5.66,Leveraged ETF,2016,12,Thursday,13.0
IBB,Long,2017-01-03,266.8,280.6,2017-01-06,5.17,Equity / Other,2017,1,Tuesday,3.0
EBIO,Long,2017-01-03,1.93,2.33,2017-01-04,20.07,Equity / Other,2017,1,Tuesday,1.0
TWLO,Long,2017-01-03,27.33,32.4,2017-02-06,18.55,Technology,2017,1,Tuesday,34.0
CMG,Long,2017-01-04,381.35,416.7,2017-01-10,9.23,Consumer Cyclical,2017,1,Wednesday,6.0
LRCX,Short,2017-01-09,117.68,139.9,2017-04-21,-18.88,Technology,2017,1,Monday,102.0
AXP,Short,2017-01-10,83.12,87.84,2018-02-09,-5.67,Financial Services,2017,1,Tuesday,395.0
M,Long,2017-01-10,30.3,33.1,2017-02-03,9.24,Consumer Cyclical,2017,1,Tuesday,24.0
FIT,Long,2017-01-12,7.71,5.81,2017-02-07,-21.17,Equity / Other,2017,1,Thursday,26.0
AMZN,Short,2017-01-13,844.02,925.0,2017-04-28,-9.58,Consumer Cyclical,2017,1,Friday,105.0
FB,Short,2017-01-13,130.81,145.5,2017-04-24,-11.23,Equity / Other,2017,1,Friday,101.0
ENDP,Long,2017-01-13,12.5,13.75,2017-02-15,10.0,Equity / Other,2017,1,Friday,33.0
TVIX,Long,2017-01-17,5.71,4.47,2017-02-13,-21.58,Equity / Other,2017,1,Tuesday,27.0
CSX,Short,2017-01-19,45.41,42.95,2017-01-20,5.42,Industrials,2017,1,Thursday,1.0
CSX,Short,2017-01-23,46.85,48.67,2018-02-09,-3.88,Industrials,2017,1,Monday,382.0
IBM,Long,2017-01-24,175.5,169.39,2017-04-11,3.48,Technology,2017,1,Tuesday,77.0
SCON,Long,2017-01-25,1.05,1.7,2017-02-16,47.83,Equity / Other,2017,1,Wednesday,22.0
SQQQ,Long,2017-01-26,42.95,37.53,2017-03-15,-12.62,Leveraged ETF,2017,1,Thursday,48.0
MU,Short,2017-01-31,32.21,37.54,2018-02-09,-16.5,Technology,2017,1,Tuesday,374.0
GE,Long,2017-01-31,29.63,30.5,2017-04-20,2.93,Industrials,2017,1,Tuesday,79.0
SOXX,Long,2017-02-03,8.25,8.55,2017-04-12,3.64,Equity / Other,2017,2,Friday,68.0
DUST,Long,2017-02-06,26.3,28.85,2017-02-22,9.7,Leveraged ETF,2017,2,Monday,16.0
AMD,Short,2017-02-07,14.25,12.65,2017-02-17,12.65,Technology,2017,2,Tuesday,10.0
SPXU,Long,2017-02-09,18.52,11.31,2017-12-28,-38.93,Equity / Other,2017,2,Thursday,322.0
AA,Short,2017-02-14,39.05,36.45,2017-02-16,6.66,Basic Materials,2017,2,Tuesday,2.0
TSLA,Short,2017-02-14,284.5,264.5,2017-02-17,7.03,Consumer Cyclical,2017,2,Tuesday,3.0
TZA,Long,2017-02-21,17.55,20.12,2017-03-22,14.64,Equity / Other,2017,2,Tuesday,29.0
VVUS,Long,2017-02-22,1.11,1.22,2017-06-02,10.0,Equity / Other,2017,2,Wednesday,100.0
AMD,Short,2017-02-22,14.8,13.35,2017-03-03,9.8,Technology,2017,2,Wednesday,9.0
MMM,Short,2017-02-24,197.07,218.83,2018-02-09,-11.04,Industrials,2017,2,Friday,350.0
AAPL,Short,2017-02-28,145.45,152.86,2018-02-09,-5.09,Technology,2017,2,Tuesday,346.0
NUGT,Long,2017-03-07,7.5,8.3,2017-03-13,10.67,Leveraged ETF,2017,3,Tuesday,6.0
USLV,Long,2017-03-09,13.5,14.11,2017-03-15,4.52,Equity / Other,2017,3,Thursday,6.0
SINO,Long,2017-03-10,2.6,3.15,2017-03-16,21.15,Equity / Other,2017,3,Friday,6.0
HD,Short,2017-03-15,147.1,176.08,2018-02-09,-19.7,Consumer Cyclical,2017,3,Wednesday,331.0
FIT,Long,2017-03-17,5.68,6.65,2017-05-04,17.08,Equity / Other,2017,3,Friday,48.0
EGLE,Long,2017-03-20,5.29,5.3,2018-01-25,0.19,Equity / Other,2017,3,Monday,311.0
JCP,Long,2017-03-22,5.57,6.29,2017-03-29,12.93,Consumer Cyclical,2017,3,Wednesday,7.0
BAC,Long,2017-03-28,23.4,24.2,2017-08-18,3.22,Financial Services,2017,3,Tuesday,143.0
NTNX,Long,2017-03-29,17.37,18.17,2017-05-22,4.61,Technology,2017,3,Wednesday,54.0
ZEN,Long,2017-03-31,27.43,29.1,2017-05-01,6.08,Equity / Other,2017,3,Friday,31.0
SCO,Long,2017-04-04,35.79,36.82,2017-04-19,2.88,Equity / Other,2017,4,Tuesday,15.0
JRJC,Long,2017-04-05,3.07,3.5,2017-04-12,14.0,Equity / Other,2017,4,Wednesday,7.0
KNDI,Long,2017-04-05,3.8,4.2,2017-04-05,10.53,Consumer Cyclical,2017,4,Wednesday,0.0
MNST,Long,2017-04-05,46.18,45.73,2017-05-04,-1.0,Consumer Defensive,2017,4,Wednesday,29.0
CCIH,Long,2017-04-10,1.5,1.6,2017-06-02,6.67,Equity / Other,2017,4,Monday,53.0
GILD,Long,2017-04-11,65.9,69.35,2017-06-22,5.24,Healthcare,2017,4,Tuesday,72.0
TWTR,Long,2017-04-12,14.5,16.4,2017-04-25,13.1,Technology,2017,4,Wednesday,13.0
TBT,Long,2017-04-13,4.13,38.25,2017-05-17,1.9,Equity / Other,2017,4,Thursday,34.0
GRPN,Long,2017-04-20,3.81,3.82,2017-07-05,0.26,Communication Services,2017,4,Thursday,76.0
SOXX,Long,2017-04-20,34.71,30.2,2017-06-12,-12.99,Equity / Other,2017,4,Thursday,53.0
VXX,Long,2017-04-24,15.28,16.2,2017-05-17,6.23,Leveraged ETF,2017,4,Monday,23.0
SQQQ,Long,2017-04-25,34.77,32.67,2017-06-12,-6.04,Leveraged ETF,2017,4,Tuesday,48.0
FB,Short,2017-04-28,161.4,168.55,2018-02-09,-4.43,Equity / Other,2017,4,Friday,287.0
USLV,Long,2017-05-01,12.16,12.6,2017-05-16,3.62,Equity / Other,2017,5,Monday,15.0
T,Long,2017-05-03,38.35,36.34,2017-07-25,-5.24,Communication Services,2017,5,Wednesday,83.0
X,Long,2017-05-03,20.96,21.6,2017-05-24,3.05,Equity / Other,2017,5,Wednesday,21.0
UCO,Long,2017-05-04,15.23,15.75,2017-05-05,3.41,Equity / Other,2017,5,Thursday,1.0
OIH,Long,2017-05-04,26.46,27.16,2017-05-25,2.65,Equity / Other,2017,5,Thursday,21.0
SWKS,Short,2017-05-09,102.1,94.9,2017-06-29,7.05,Technology,2017,5,Tuesday,51.0
JCP,Long,2017-05-16,4.17,4.76,2017-05-30,14.15,Consumer Cyclical,2017,5,Tuesday,14.0
FIT,Long,2017-05-17,5.58,6.39,2017-09-11,14.52,Equity / Other,2017,5,Wednesday,117.0
EUO,Long,2017-05-17,24.2,22.15,2017-07-21,-8.47,Equity / Other,2017,5,Wednesday,65.0
GM,Long,2017-05-18,32.48,35.02,2017-07-13,7.81,Consumer Cyclical,2017,5,Thursday,56.0
TEVA,Long,2017-05-18,29.85,31.75,2017-06-15,6.37,Healthcare,2017,5,Thursday,28.0
VXX,Long,2017-05-19,45.51,27.71,2017-12-28,-39.11,Leveraged ETF,2017,5,Friday,223.0
